id,timestamp,mac,temperatura,umidade,latencia,hops
14808,2025-12-07 02:06:56,40:4c:ca:5d:f7:d4,29.0,76.96,58,1
14809,2025-12-07 02:10:11,40:4c:ca:5d:e6:e8,22.09,76.54,56,1
14810,2025-12-07 02:10:17,40:4c:ca:5e:0f:34,22.09,76.54,74,2
14811,2025-12-07 02:11:56,40:4c:ca:5d:f7:d4,27.42,70.85,57,1
14812,2025-12-07 02:15:11,40:4c:ca:5d:e6:e8,18.52,86.65,60,1
14813,2025-12-07 02:15:17,40:4c:ca:5e:0f:34,18.52,86.65,90,2
14814,2025-12-07 02:16:56,40:4c:ca:5d:f7:d4,24.6,78.47,59,1
14815,2025-12-07 02:20:13,40:4c:ca:5d:e6:e8,25.83,61.38,1556,1
14816,2025-12-07 02:20:17,40:4c:ca:5e:0f:34,25.83,61.38,72,2
14817,2025-12-07 02:21:57,40:4c:ca:5d:f7:d4,25.24,74.31,68,1
14818,2025-12-07 02:25:13,40:4c:ca:5d:e6:e8,30.01,78.9,56,1
14819,2025-12-07 02:25:17,40:4c:ca:5e:0f:34,30.01,78.9,67,2
14820,2025-12-07 02:26:57,40:4c:ca:5d:f7:d4,26.58,72.86,61,1
14821,2025-12-07 02:30:13,40:4c:ca:5d:e6:e8,28.3,81.37,56,1
14822,2025-12-07 02:30:17,40:4c:ca:5e:0f:34,28.3,81.37,69,2
14823,2025-12-07 02:31:57,40:4c:ca:5d:f7:d4,18.19,88.0,56,1
14824,2025-12-07 02:35:13,40:4c:ca:5d:e6:e8,24.95,73.56,55,1
14825,2025-12-07 02:35:17,40:4c:ca:5e:0f:34,24.95,73.56,66,2
14826,2025-12-07 02:36:57,40:4c:ca:5d:f7:d4,19.15,77.55,58,1
14827,2025-12-07 02:40:13,40:4c:ca:5d:e6:e8,25.63,79.11,55,1
14828,2025-12-07 02:40:17,40:4c:ca:5e:0f:34,25.63,79.11,66,2
14829,2025-12-07 02:41:57,40:4c:ca:5d:f7:d4,25.82,66.74,58,1
14830,2025-12-07 02:45:13,40:4c:ca:5d:e6:e8,20.27,74.42,54,1
14831,2025-12-07 02:45:17,40:4c:ca:5e:0f:34,20.27,74.42,73,2
14832,2025-12-07 02:46:57,40:4c:ca:5d:f7:d4,21.61,73.06,61,1
14833,2025-12-07 02:50:13,40:4c:ca:5d:e6:e8,27.06,80.68,55,1
14834,2025-12-07 02:50:17,40:4c:ca:5e:0f:34,27.06,80.68,63,2
14835,2025-12-07 02:51:57,40:4c:ca:5d:f7:d4,27.02,64.68,2312,1
14836,2025-12-07 02:55:13,40:4c:ca:5d:e6:e8,21.12,75.01,45,1
14837,2025-12-07 02:56:57,40:4c:ca:5d:f7:d4,22.65,79.7,49,1
14838,2025-12-07 03:00:13,40:4c:ca:5d:e6:e8,23.1,76.8,44,1
14839,2025-12-07 03:01:57,40:4c:ca:5d:f7:d4,24.18,66.23,47,1
14840,2025-12-07 03:05:13,40:4c:ca:5d:e6:e8,23.58,70.71,41,1
14841,2025-12-07 03:06:57,40:4c:ca:5d:f7:d4,25.89,90.06,49,1
14842,2025-12-07 03:10:13,40:4c:ca:5d:e6:e8,23.31,75.14,44,1
14843,2025-12-07 03:11:57,40:4c:ca:5d:f7:d4,25.19,69.3,45,1
14844,2025-12-07 03:15:13,40:4c:ca:5d:e6:e8,28.47,87.64,43,1
14845,2025-12-07 03:16:57,40:4c:ca:5d:f7:d4,20.55,86.32,45,1
14846,2025-12-07 03:20:13,40:4c:ca:5d:e6:e8,30.97,69.25,43,1
14847,2025-12-07 03:21:57,40:4c:ca:5d:f7:d4,19.93,89.74,47,1
14848,2025-12-07 03:25:13,40:4c:ca:5d:e6:e8,29.38,84.31,48,1
14849,2025-12-07 03:26:57,40:4c:ca:5d:f7:d4,22.95,78.1,47,1
14850,2025-12-07 03:30:13,40:4c:ca:5d:e6:e8,19.18,71.87,44,1
14851,2025-12-07 03:31:57,40:4c:ca:5d:f7:d4,21.73,69.55,53,1
14852,2025-12-07 03:35:13,40:4c:ca:5d:e6:e8,19.51,66.87,43,1
14853,2025-12-07 03:36:57,40:4c:ca:5d:f7:d4,30.3,70.95,48,1
14854,2025-12-07 03:40:13,40:4c:ca:5d:e6:e8,28.13,61.79,45,1
14855,2025-12-07 03:41:57,40:4c:ca:5d:f7:d4,26.45,80.05,48,1
14856,2025-12-07 03:45:13,40:4c:ca:5d:e6:e8,26.95,90.5,52,1
14857,2025-12-07 03:46:57,40:4c:ca:5d:f7:d4,18.94,72.48,51,1
14858,2025-12-07 03:50:13,40:4c:ca:5d:e6:e8,29.5,66.13,38,1
14859,2025-12-07 03:51:57,40:4c:ca:5d:f7:d4,22.73,76.53,42,1
14860,2025-12-07 03:55:13,40:4c:ca:5d:e6:e8,27.62,78.34,42,1
14861,2025-12-07 03:56:57,40:4c:ca:5d:f7:d4,24.74,76.6,51,1
14862,2025-12-07 04:00:13,40:4c:ca:5d:e6:e8,29.73,67.47,44,1
14863,2025-12-07 04:01:57,40:4c:ca:5d:f7:d4,22.41,88.56,44,1
14864,2025-12-07 04:05:13,40:4c:ca:5d:e6:e8,25.21,66.3,45,1
14865,2025-12-07 04:06:57,40:4c:ca:5d:f7:d4,21.44,80.43,48,1
14866,2025-12-07 04:10:13,40:4c:ca:5d:e6:e8,26.4,68.57,46,1
14867,2025-12-07 04:11:57,40:4c:ca:5d:f7:d4,30.4,82.37,41,1
14868,2025-12-07 04:15:13,40:4c:ca:5d:e6:e8,25.78,66.26,43,1
14869,2025-12-07 04:16:57,40:4c:ca:5d:f7:d4,28.79,69.35,43,1
14870,2025-12-07 04:20:13,40:4c:ca:5d:e6:e8,18.03,79.97,42,1
14871,2025-12-07 04:21:57,40:4c:ca:5d:f7:d4,27.49,69.29,40,1
14872,2025-12-07 04:25:13,40:4c:ca:5d:e6:e8,26.08,89.93,38,1
14873,2025-12-07 04:26:57,40:4c:ca:5d:f7:d4,19.1,80.07,45,1
14874,2025-12-07 04:30:13,40:4c:ca:5d:e6:e8,18.88,89.38,41,1
14875,2025-12-07 04:31:57,40:4c:ca:5d:f7:d4,19.17,84.55,38,1
14876,2025-12-07 04:35:13,40:4c:ca:5d:e6:e8,24.85,73.93,37,1
14877,2025-12-07 04:36:57,40:4c:ca:5d:f7:d4,27.87,80.73,75,1
14878,2025-12-07 04:40:13,40:4c:ca:5d:e6:e8,28.88,68.2,37,1
14879,2025-12-07 04:41:57,40:4c:ca:5d:f7:d4,25.26,60.45,40,1
14880,2025-12-07 04:45:13,40:4c:ca:5d:e6:e8,19.11,83.46,48,1
14881,2025-12-07 04:46:57,40:4c:ca:5d:f7:d4,30.12,76.72,44,1
14882,2025-12-07 04:50:13,40:4c:ca:5d:e6:e8,20.87,87.1,49,1
14883,2025-12-07 04:51:57,40:4c:ca:5d:f7:d4,21.95,80.53,41,1
14884,2025-12-07 04:55:13,40:4c:ca:5d:e6:e8,18.09,70.87,44,1
14885,2025-12-07 04:56:57,40:4c:ca:5d:f7:d4,28.53,65.83,43,1
14886,2025-12-07 05:00:13,40:4c:ca:5d:e6:e8,19.68,77.03,44,1
14887,2025-12-07 05:01:57,40:4c:ca:5d:f7:d4,24.17,90.55,38,1
14888,2025-12-07 05:05:13,40:4c:ca:5d:e6:e8,26.73,60.0,42,1
14889,2025-12-07 05:06:57,40:4c:ca:5d:f7:d4,27.17,71.76,37,1
14890,2025-12-07 05:10:13,40:4c:ca:5d:e6:e8,19.74,63.05,44,1
14891,2025-12-07 05:11:57,40:4c:ca:5d:f7:d4,23.77,64.76,44,1
